最小稀疏度设置为0.7
_subordinate_instance_of	头实体稀疏矩阵非零个数：12	尾实体稀疏矩阵非零个数：2
头实体稀疏矩阵非零元素及位置
17	8	0.6866297541349756
18	1	0.9815597745386838
2	9	0.5527890858455532
3	12	0.8741252913930935
4	13	0.7528701613602549
6	2	0.9294442187984495
6	12	0.14314754499347693
6	14	0.5439160900743016
7	4	0.7246451632786232
8	18	0.2759574861584869
9	17	0.002147985543118236
13	6	0.3762302205161254
尾实体稀疏矩阵非零元素及位置
3	12	0.9119977747277467
4	8	0.5577519336984619
_domain_region	头实体稀疏矩阵非零个数：1	尾实体稀疏矩阵非零个数：15
头实体稀疏矩阵非零元素及位置
15	7	0.11978223283552858
尾实体稀疏矩阵非零元素及位置
16	10	0.08048448284634879
1	1	0.8671590226697748
1	11	0.20927248834499945
18	16	0.9262518977581218
18	9	0.72701149895781
19	17	0.8602445698172838
3	5	0.6875292823797157
5	2	0.7151338241523121
8	14	0.5742901832083784
9	13	0.5104831775012276
10	19	0.28020432219120384
10	7	0.33539497371085136
13	3	0.824930815088902
15	3	0.8342842525699263
15	8	0.6118150667813257
_has_instance	头实体稀疏矩阵非零个数：39	尾实体稀疏矩阵非零个数：120
头实体稀疏矩阵非零元素及位置
0	4	0.734609210681557
0	5	0.7917173672433598
0	13	0.8916299025964234
2	16	0.4227720840772209
2	1	0.5038375641613607
2	12	0.8268477385335155
3	2	0.006008065588537725
3	19	0.015199460446846502
3	3	0.3024691906179281
3	7	0.6154818598003726
4	14	0.5547611403530563
5	16	0.4383694116709137
5	7	0.5980475034112052
6	14	0.3824218755562543
7	19	0.24917306559194863
10	17	0.7971031523055517
10	4	0.5627112175582103
10	14	0.9563522955144799
11	0	0.17659770406662967
11	5	0.4987979149452887
11	7	0.7318319971734712
11	14	0.9767378539010425
12	16	0.620185990507592
12	18	0.7636297729809735
12	5	0.13196387636918305
13	19	0.8164391948792521
13	7	0.2678007664127563
13	12	0.3202776257437796
14	1	0.8225928364556079
14	14	0.28196740853909064
15	16	0.8273619883906571
15	3	0.23824844891305696
16	3	0.4807455941708835
16	7	0.5331797331021563
18	7	0.453559873476586
18	12	0.055892339089099075
19	17	0.9983364414046293
19	11	0.9503525005253277
19	15	0.9348189734304395
尾实体稀疏矩阵非零元素及位置
0	0	0.43661672769168014
0	1	0.15051531230701798
0	18	0.007237370106193741
0	2	0.6947413084873978
0	3	0.3376376901079343
0	6	0.654948248145413
0	15	0.6085473230417175
1	16	0.16178287902835298
1	17	0.7123451418899875
1	3	0.016069728324844434
1	6	0.36479672832044985
1	11	0.49829208645611467
1	13	0.44826881661614915
1	15	0.033285792148401105
2	1	0.21538940617332447
2	5	0.41113744556860865
2	7	0.9964841893024103
2	12	0.5409022920487452
3	19	0.5902721260248538
3	13	0.5585332693544522
3	14	0.8457520068094923
4	17	0.42766161047834883
4	18	0.4125914960800131
4	5	0.06803756689005869
4	10	0.9243971576362428
5	18	0.08109630240053955
5	8	0.23888303701966207
5	10	0.5779540154841788
6	2	0.8741708491095235
6	7	0.6679854260860189
6	8	0.6123845717009306
6	11	0.25492741188545653
7	0	0.8795985740140116
7	1	0.7842689192679512
7	2	0.02244862335079434
7	18	0.06571719240834784
7	19	0.8818239877610586
7	3	0.7860961422639654
7	4	0.08666175752664274
7	5	0.5625788867451572
7	8	0.5577160134075921
7	9	0.548255213924001
7	14	0.7021611783762511
8	16	0.5793787052146544
8	1	0.4030155101804981
8	7	0.487049354557762
9	16	0.948771738565694
9	19	0.529512182076293
9	5	0.6225542410929595
9	8	0.43175743201461203
9	13	0.46896978505276
9	14	0.44689220958109455
10	16	0.3010879615702301
10	17	0.33213610726251075
10	2	0.8983125389561732
10	19	0.5177179235714948
10	3	0.5050424553617101
10	4	0.8489908262747283
10	5	0.6748547852467511
10	6	0.6134310892761909
10	9	0.548479291339686
10	12	0.5906638362950662
10	14	0.21720734967379718
11	1	0.2542114219140821
11	18	0.6458462945204412
11	19	0.13035744966086638
11	11	0.028274866593105852
11	12	0.5075582701491625
11	14	0.5695849948954329
12	18	0.9675307121786036
12	2	0.7553429322227381
12	6	0.5579509518434075
12	11	0.7324254414693459
12	12	0.28117891588311406
12	13	0.6170675489702947
12	14	0.07127554907662681
13	0	0.32220664358217355
13	19	0.6636245409968019
13	5	0.89405267864148
13	8	0.021651085058500552
13	10	0.7313183483300848
13	12	0.02051949567275002
13	13	0.3720846908508336
13	15	0.3484836432205609
14	0	0.5433681482934237
14	1	0.47607802565013735
14	18	0.7257247727535455
14	2	0.6680220457588021
14	19	0.7664353241962215
14	4	0.43213090594579084
14	11	0.8348439838601891
14	12	0.2763839451601168
15	2	0.8352808973796733
15	19	0.8954107778617593
15	4	0.9378174212366664
15	10	0.8499668660087727
16	2	0.1441410986943502
16	8	0.8095497504167035
16	13	0.34247795894551414
16	15	0.5743535990339479
17	1	0.5172391218233835
17	3	0.40659009933227774
17	4	0.1395618155070779
17	5	0.9142671085594901
17	9	0.07590820128675202
17	10	0.5273792742963952
18	16	0.9932614650367646
18	0	0.8748249056073857
18	17	0.41922654635223755
18	19	0.4510413024705482
18	6	0.6196345024198663
18	8	0.3982887480495052
18	14	0.8993224254659
18	15	0.020786115957237894
19	1	0.0059990467440294015
19	18	0.4907003063226737
19	3	0.04301598493380221
19	19	0.7566391644166865
19	6	0.7730801749593385
19	9	0.7792391793837466
_member_holonym	头实体稀疏矩阵非零个数：34	尾实体稀疏矩阵非零个数：17
头实体稀疏矩阵非零元素及位置
0	16	0.7840978958040961
0	19	0.1421591988944917
0	5	0.33918032639916484
1	1	0.31926549271930715
2	19	0.7563084395461263
2	15	0.15934545815046408
3	11	0.5562949519109701
3	14	0.5347285905509938
4	19	0.9585798274668496
5	16	0.4442896995703357
6	4	0.04173909621499139
6	9	0.3613994810372271
6	13	0.17079639564016336
7	6	0.5796178966776252
8	3	0.12733523563277238
9	19	0.9913367353294973
10	11	0.26813898372571476
10	13	0.8611536397812756
11	15	0.3617124502400425
12	5	0.6229721045153969
12	7	0.8738238773329996
12	12	0.28474293872666423
13	0	0.33552925046135385
13	18	0.11758468247968046
13	4	0.8005122997256445
13	15	0.3400675511471408
14	3	0.13162499217096868
14	13	0.09015957344397141
15	19	0.1260020516710052
16	17	0.16628713960648744
16	4	0.0489339461293028
17	12	0.5778497952493952
18	9	0.5818205959692619
19	16	0.5901706913472653
尾实体稀疏矩阵非零元素及位置
0	16	0.8601441857298694
0	7	0.8987184763735846
1	4	0.39691860206482066
1	12	0.7496379169475045
2	10	0.9039036071711946
3	3	0.9016919890831471
3	11	0.5662172378231106
4	7	0.16486310268935622
5	5	0.7398922546143097
8	9	0.7411790343845388
10	6	0.20768268975109572
11	16	0.9469113015609351
12	19	0.6326265508361634
12	12	0.4242360205493132
14	2	0.6481059969693213
15	2	0.5870391281692295
17	10	0.6608601699322881
_synset_domain_topic	头实体稀疏矩阵非零个数：14	尾实体稀疏矩阵非零个数：1
头实体稀疏矩阵非零元素及位置
16	6	0.22474262393068412
0	15	0.4905313295887518
4	14	0.7355779620869384
5	10	0.21095538030779493
6	2	0.3724803113321665
6	15	0.0027977235657428157
7	8	0.427949981717469
8	17	0.9030139295371055
11	16	0.8170496647163855
11	9	0.7226515631761996
12	0	0.3632912366851869
12	14	0.042730547376782724
13	3	0.09856287170293543
15	4	0.8459715662452856
尾实体稀疏矩阵非零元素及位置
1	13	0.9327657053278126
_part_of	头实体稀疏矩阵非零个数：22	尾实体稀疏矩阵非零个数：11
头实体稀疏矩阵非零元素及位置
0	9	0.2163514120601996
0	10	0.9708913142490252
1	13	0.301949547652
4	3	0.40357021493837886
5	3	0.9731927982993516
5	5	0.6220021459067137
6	5	0.44561036006350896
6	15	0.1493690238206672
9	0	0.2619278124780816
11	11	0.22522423564937388
12	11	0.2891636365222844
13	17	0.9098948951373317
13	19	0.3391552124324694
13	8	0.596277417520646
14	2	0.21127419782697932
14	8	0.12616560070819616
14	15	0.032832968919318306
17	10	0.22105604049848016
18	2	0.40050912540446515
18	10	0.09550654640297118
18	11	0.2442869941620186
19	16	0.5466489247014293
尾实体稀疏矩阵非零元素及位置
16	10	0.2155647550924027
18	17	0.5931968504574194
18	15	0.8650104667649451
3	0	0.8614660689544466
3	19	0.976550065941129
6	2	0.178901233961144
7	16	0.43864506949127013
11	18	0.5418635160508877
12	6	0.024073491858134566
13	4	0.3431971278913949
15	6	0.6101587570911194
_type_of	头实体稀疏矩阵非零个数：107	尾实体稀疏矩阵非零个数：36
头实体稀疏矩阵非零元素及位置
0	17	0.839760899027266
0	18	0.5327954307783992
0	15	0.7671722569502182
1	17	0.26487947449923255
1	4	0.8906535901458157
1	5	0.7208254419916936
1	10	0.19397595641688836
1	11	0.35508280401099657
1	13	0.33384704666462295
2	16	0.22552840702225785
2	17	0.16735959979334247
2	4	0.0635678609149336
2	8	0.6636615871531808
2	9	0.5139437789893053
2	10	0.05388963832958549
2	11	0.06441717031667804
2	15	0.960907433147623
3	16	0.37502027212163425
3	2	0.3564591697796521
3	12	0.3868873384023307
4	0	0.5619275343527516
4	1	0.8560081292936672
4	18	0.6370483863630237
4	3	0.510002791463513
4	4	0.5888739868518749
4	6	0.38669181062713465
4	7	0.03431588153973797
4	8	0.6804670189281997
5	0	0.6201793696293173
5	2	0.5230121552809941
5	8	0.45429780024062716
5	15	0.0636624055477687
6	18	0.5428794231372422
6	3	0.32463504567799284
6	9	0.2283131358862961
6	13	0.99864357206613
6	14	0.5473891140715004
7	16	0.3702811973028586
8	16	0.4042431799103037
